Data as of 2025-03-22
Symbol,Name,Asset Class,Assets,Avg. Daily Volume,Price,Inverse,Leveraged,Smart Beta,Currency Hedged,1 Week Returns,1 Month Returns,YTD Price Change,1 Year Returns,3 Year Returns,5 Year Returns,1 Week FF,4 Week FF,YTD FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Annual Dividend Rate,Dividend Date,Dividend, Annual Dividend Yield %, Dividend Frequency, Standard Deviation,P/E Ratio,Beta,5-Day Volatility,20-Day Volatility,50-Day Volatility,200-Day Volatility,Issuer,# of Holdings,% In Top 10,% In Top 15,% In Top 50,ST Cap Gains,LT Cap Gains,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity,Expenses,Performance,Volatility,ETF Database Pro,Dividend,Concentration,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),ESG Exclusion Criteria (%),Sustainable Impact Solutions (%)
NOCT,Innovator Growth-100 Power Buffer ETF- October,Equity,"$154,223,000","12,202",$50.34,false,False,false,false,0.20%,-4.63%,-1.95%,5.91%,8.90%,11.71%,$1.761106,$3.546011,-$7.344089,-$22.039826,$52.955392,$62.069745,Volatility Hedged Equity,2019-10-01,0.79%,$0.00,N/A,N/A,0.00%,Annually,1.54%,0.03,0.47,19.21%,13.82%,10.61%,9.47%,Innovator,1,100.00%,100.00%,100.00%,40%,20%,1099,$49.22,$52.22,$50.02,$50.50,42.92,B,C+,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FDEC,FT Vest US Equity Buffer ETF - December,Equity,"$996,293,000","110,272",$43.69,false,False,false,false,0.29%,-4.72%,-2.00%,6.24%,9.07%,N/A,$2.1769,$19.96645,$70.59285,$210.991575,$626.6832,$858.02245,Large Cap Blend Equities,2020-12-18,0.85%,$0.00,N/A,N/A,0.00%,Annually,1.47%,0.05,0.64,6.77%,13.47%,10.76%,8.18%,First Trust Advisors LP,3,100.00%,100.00%,100.00%,40%,20%,1099,$42.63,$45.48,$43.48,$43.79,42.66,A,C+,A-,B-,B,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPCX,SPAC and New Issue ETF,Equity,"$8,942,300",790,$23.99,false,False,false,false,1.10%,1.61%,1.95%,4.02%,-3.63%,N/A,$0.0,-$0.597267,-$0.597267,-$4.167226,-$31.888196,$16.216192,Global Equities,2020-12-16,2.31%,$0.16,2024-12-27,$0.02,0.68%,Annually,0.20%,N/A,0.05,87.09%,7.16%,6.80%,7.78%,Tuttle Capital Management LLC,33,47.16%,67.79%,100.00%,40%,20%,1099,$23.57,$23.95,$23.99,$23.99,59.68,N/A,B,N/A,N/A,N/A,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACTV,LeaderShares Activist Leaders ETF,Equity,"$62,860,000","18,852",$31.20,false,False,false,false,0.51%,-5.40%,-4.14%,-8.94%,-3.87%,N/A,$0.78,-$0.0105,-$3.2785,-$20.33825,-$12.1695,$53.663475,Global Equities,2020-10-27,0.75%,$0.26,2024-12-20,$0.26,0.84%,Annually,0.87%,0.06,0.96,43.04%,12.33%,12.90%,16.05%,Redwood,22,87.19%,95.83%,100.00%,40%,20%,1099,$30.54,$32.55,$31.12,$31.24,41.12,B,C+,N/A,B-,C+,C+,N/A,6.21,67.82%,40.83%,153.78,6.31%,8.75%
LQDI,iShares Inflation Hedged Corporate Bond ETF,Bond,"$92,725,300","34,200",$26.07,false,False,false,false,0.93%,0.54%,3.21%,4.99%,0.15%,9.64%,$0.0,$0.0,$36.99117,$48.689155,-$15.038085,$100.030405,Inflation-Protected Bonds,2018-05-08,0.18%,$1.16,2025-03-04,$0.10,4.47%,Monthly,0.51%,N/A,0.43,41.66%,6.44%,6.78%,6.58%,"BlackRock, Inc.",2,100.00%,100.00%,100.00%,40%,20%,1099,$25.75,$26.30,$26.02,$26.12,55.53,C,B,A,C+,B-,A,N/A,6.52,97.58%,52.25%,151.09,11.51%,1.90%
JSTC,Adasina Social Justice All Cap Global ETF,Equity,"$216,248,000","24,205",$18.26,false,False,false,false,-0.37%,-4.62%,-0.54%,3.99%,3.70%,N/A,$0.0,$0.0,$9.2398,$31.76617,$101.01597,$190.781895,All Cap Equities,2020-12-10,0.89%,$0.20,2024-12-27,$0.13,1.11%,Semi-Annually,0.77%,16.87,0.88,57.63%,15.42%,13.28%,12.55%,Tidal Financial Group,633,15.64%,20.28%,44.71%,40%,20%,1099,$17.95,$18.97,$18.23,$18.29,43.68,A-,C,N/A,A-,B+,A-,N/A,7.4,80.12%,85.70%,22.58,2.94%,6.43%
IMOM,Alpha Architect International Quantitative Momentum ETF,Equity,"$88,948,800","14,774",$29.30,false,False,true,false,0.38%,0.48%,10.36%,4.85%,4.56%,13.69%,$0.0,$0.791163,$2.758875,$0.674505,$16.208848,$11.438563,Foreign Large Cap Equities,2015-12-23,0.39%,$1.20,2024-12-24,$1.20,4.10%,Annually,0.92%,0.15,0.93,101.15%,26.31%,20.56%,16.97%,ETF Architect,52,23.77%,34.22%,98.88%,40%,20%,1099,$27.95,$29.93,$29.17,$29.36,55.41,B,C+,A,B,B-,C,C+,7.06,12.14%,74.68%,54.99,20.63%,2.74%
KJUL,Innovator U.S. Small Cap Power Buffer ETF - July,Equity,"$156,065,000","25,282",$28.29,false,False,false,false,0.33%,-5.48%,-3.88%,1.56%,3.21%,N/A,$0.0,$9.986165,-$1.237875,$1.22989,$76.086765,$137.035327,Volatility Hedged Equity,2020-07-01,0.79%,$0.00,N/A,N/A,0.00%,Annually,0.99%,0.05,0.48,63.37%,11.20%,10.23%,10.14%,Innovator,2,100.00%,100.00%,100.00%,40%,20%,1099,$27.68,$29.39,$28.16,$28.40,38.9,B-,C+,N/A,N/A,N/A,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FDIV,MarketDesk Focused U.S. Dividend ETF,Equity,"$111,173,000","14,138",$26.70,false,False,true,false,-0.15%,-1.94%,-1.50%,-0.93%,N/A,N/A,$0.0,$0.559443,-$1.079979,$22.989517,$105.535455,$105.535455,All Cap Equities,2023-09-19,0.35%,$0.78,2024-12-30,$0.23,2.94%,Quarterly,0.79%,17.4,0.53,36.29%,16.81%,14.41%,13.16%,ETF Architect,70,21.25%,31.46%,82.49%,40%,20%,1099,$26.41,$27.53,$26.67,$26.72,46.4,B,B+,B,B,A-,A,B+,6.63,46.25%,56.25%,114.41,5.96%,4.82%
DYLD,LeaderShares Dynamic Yield ETF,Bond,"$64,609,500","12,192",$22.62,false,False,false,false,0.24%,0.39%,1.26%,4.81%,2.10%,N/A,$0.0,$0.0,$0.0,-$9.0155,-$16.0685,$71.303,Total Bond Market,2021-06-28,0.75%,$1.04,2025-02-24,$0.07,4.60%,Monthly,0.38%,N/A,0.28,10.57%,4.82%,3.85%,3.35%,Redwood,220,52.62%,53.92%,62.68%,40%,20%,1099,$22.51,$22.70,N/A,N/A,53.79,B,C,N/A,B+,C+,C+,N/A,5.83,23.85%,32.30%,83.83,5.23%,0.21%
DMAR,FT Vest US Equity Deep Buffer ETF - March,Equity,"$252,736,000","15,811",$37.79,false,False,false,false,0.43%,-3.34%,-0.99%,8.50%,5.50%,N/A,$3.112425,-$3.6931,-$4.589625,-$45.89805,$105.2357,$200.99585,Volatility Hedged Equity,2021-03-19,0.85%,$0.00,N/A,N/A,0.00%,Annually,1.46%,0.03,0.35,17.34%,16.34%,11.08%,8.68%,First Trust,3,100.00%,100.00%,100.00%,40%,20%,1099,$36.86,$39.22,$37.56,$37.91,45.45,A,C+,B-,C+,B-,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QDEC,FT Vest Nasdaq-100 Buffer ETF - December,Equity,"$524,335,000","191,954",$26.62,false,False,false,false,0.31%,-6.36%,-3.33%,7.09%,6.82%,N/A,$1.3336,$24.79965,$50.1442,$109.35915,$362.8872,$460.1856,Large Cap Blend Equities,2020-12-18,0.90%,$0.00,N/A,N/A,0.00%,Annually,1.13%,N/A,0.84,20.16%,18.38%,14.41%,11.18%,First Trust,2,100.00%,100.00%,100.00%,40%,20%,1099,$25.81,$28.06,$26.46,$26.70,42.35,A,C+,B+,B-,B,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KCCA,KraneShares California Carbon Allowance Strategy ETF,Commodity,"$108,741,000","57,154",$16.64,false,False,false,false,2.39%,-0.61%,-15.20%,-27.92%,-1.99%,N/A,-$0.007948,-$0.057471,$6.603636,-$48.0159,$44.082601,$186.225171,Commodities,2021-10-05,0.87%,$6.00,2024-12-17,$0.97,36.19%,Quarterly,1.87%,N/A,0.18,83.04%,25.08%,30.76%,28.99%,CICC,4,100.00%,100.00%,100.00%,40%,20%,1099,$16.07,$18.03,N/A,N/A,43.88,B,C+,N/A,N/A,N/A,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RDFI,Collaborative Investment Series Trust Rareview Dynamic Fixed Income Fund,Bond,"$55,057,900","10,834",$23.74,false,False,false,false,0.50%,-0.47%,2.58%,11.34%,4.88%,N/A,$0.0,-$0.7077,-$0.9468,$18.2073,$8.05185,$55.77482,Total Bond Market,2020-10-21,4.46%,$1.96,2025-03-04,$0.16,8.24%,Monthly,1.07%,N/A,0.45,7.73%,4.22%,4.27%,6.03%,Neil Azous Revocable Trust,31,58.06%,71.99%,99.99%,40%,20%,1099,$23.54,$24.01,N/A,N/A,53.88,C+,C,N/A,C,C,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HDGE,AdvisorShares Ranger Equity Bear ETF,Equity,"$53,040,100","80,707",$17.64,true,Other,false,false,0.40%,11.29%,7.96%,-4.16%,-5.44%,-22.42%,$1.925389,$6.319773,$3.128271,-$10.472626,$6.338257,$80.284896,Inverse Equities,2011-01-26,3.68%,$1.28,2024-12-23,$1.28,7.30%,Annually,1.31%,N/A,-1.19,70.34%,17.05%,17.19%,17.66%,AdvisorShares,3,100.00%,100.00%,100.00%,40%,20%,1099,$16.41,$18.01,$17.59,$17.70,63.79,A-,C,C,B,C,A,C,N/A,N/A,N/A,N/A,N/A,N/A
USEP,Innovator U.S. Equity Ultra Buffer ETF - September,Equity,"$131,637,000","38,574",$34.59,false,False,false,false,0.18%,-3.92%,-1.72%,5.27%,7.14%,9.20%,-$0.866583,-$1.757923,-$41.424173,$50.309483,$49.71522,$97.2572,Volatility Hedged Equity,2019-09-03,0.79%,$0.00,N/A,N/A,0.00%,Annually,0.99%,0.03,0.36,4.85%,10.91%,8.43%,7.30%,Innovator,1,100.00%,100.00%,100.00%,40%,20%,1099,$33.94,$35.84,$34.48,$34.64,41.65,B+,C+,N/A,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PHYL,PGIM Active High Yield Bond ETF,Bond,"$268,622,000","73,905",$34.97,false,False,false,false,0.40%,-0.30%,1.75%,8.37%,4.76%,9.13%,$2.6088,$17.527275,$66.5375,$143.9213,$183.46024,$251.284925,High Yield Bonds,2018-09-24,0.39%,$2.80,2025-03-03,$0.21,8.02%,Monthly,1.09%,0.41,0.45,10.59%,3.18%,3.40%,3.55%,Prudential,626,15.47%,18.70%,33.94%,40%,20%,1099,$34.76,$35.30,$34.94,$35.00,51.81,C+,C+,B+,B+,B,A,N/A,5.26,16.63%,24.33%,380.66,7.81%,2.83%
DMAY,FT Vest U.S. Equity Deep Buffer ETF - May,Equity,"$218,934,000","25,952",$39.91,false,False,false,false,0.27%,-4.62%,-2.03%,7.29%,5.05%,N/A,-$0.9997,-$33.888675,-$41.076475,$46.499675,$82.36265,$164.6906,Large Cap Blend Equities,2020-05-15,0.85%,$0.00,N/A,N/A,0.00%,Annually,1.47%,0.03,0.38,7.51%,14.55%,10.76%,8.91%,First Trust,1,0.00%,0.00%,0.00%,40%,20%,1099,$38.91,$41.71,$39.69,$40.02,42.64,B+,C,B,A,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SIXS,ETC 6 Meridian Small Cap Equity ETF,Equity,"$91,545,400","4,823",$46.34,false,False,false,false,0.07%,-5.22%,-5.90%,-0.31%,-0.46%,N/A,-$1.176254,$0.100425,$2.569122,$17.466302,$27.78375,$73.58131,Small Cap Blend Equities,2020-05-11,0.55%,$0.56,2025-02-27,$0.03,1.20%,Monthly,2.18%,0.12,0.82,132.53%,12.47%,14.10%,16.82%,Exchange Traded Concepts,83,20.50%,26.59%,66.48%,40%,20%,1099,$45.52,$48.38,$46.29,$46.45,38.58,N/A,C,N/A,N/A,N/A,C,N/A,4.46,0.14%,13.98%,145.55,4.52%,16.87%
DBMF,iMGP DBi Managed Futures Strategy ETF,Alternatives,"$1,152,410,000","843,426",$25.45,false,False,false,false,0.39%,-4.14%,-2.71%,-5.87%,2.54%,6.09%,$0.0,-$177.5015,-$71.72075,$371.20925,"$1,326.14325","$1,406.01292",Hedge Fund,2019-05-08,0.85%,$1.50,2024-12-27,$0.84,5.90%,Quarterly,0.99%,0.04,-0.14,43.30%,9.76%,9.91%,8.56%,iM Global Partner US LLC,3,99.99%,99.99%,99.99%,40%,20%,1099,$24.77,$26.25,$25.38,$25.49,41.49,A-,B-,N/A,B+,B+,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FDV,Federated Hermes U.S. Strategic Dividend ETF,Equity,"$287,782,000","70,303",$27.77,false,False,false,false,0.15%,-2.10%,4.92%,15.80%,N/A,N/A,$4.18355,$19.98135,$77.40465,$182.08015,$268.6353,$268.6353,All Cap Equities,2022-11-16,0.50%,$0.83,2025-02-28,$0.08,2.96%,Monthly,1.58%,N/A,0.96,57.98%,15.00%,12.80%,12.13%,"Federated Hermes, Inc.",52,29.30%,41.71%,99.03%,40%,20%,1099,$27.45,$28.83,$27.65,$27.90,48.72,B+,B,N/A,B+,B,B,C+,6.76,65.86%,62.39%,543.71,18.86%,4.54%
FMF,First Trust Managed Futures Strategy Fund,Alternatives,"$155,134,000","24,562",$46.38,false,False,false,false,0.80%,-1.42%,-2.52%,-3.65%,1.01%,4.06%,$0.0,$4.6511,$7.05075,$21.2796,$84.002357,$156.622196,Hedge Fund,2013-08-01,0.95%,$2.31,2024-12-17,$1.34,4.97%,Quarterly,0.82%,N/A,-0.02,36.53%,7.75%,8.31%,8.79%,First Trust,1,77.38%,77.38%,77.38%,40%,20%,1099,$45.71,$47.14,$46.20,$46.59,43.69,B,C+,C+,B-,C+,C+,N/A,5.71,11.90%,30.58%,1.81,0.00%,0.00%
BDEC,Innovator U.S. Equity Buffer ETF - December,Equity,"$210,979,000","198,725",$42.14,false,False,false,false,0.45%,-4.94%,-2.25%,4.05%,7.60%,14.83%,$0.0,-$2.618273,-$89.511695,$59.255468,$95.683723,$151.293748,Volatility Hedged Equity,2019-12-01,0.79%,$0.00,N/A,N/A,0.00%,Annually,1.25%,0.03,0.68,23.33%,13.85%,11.28%,9.38%,Innovator,2,100.00%,100.00%,100.00%,40%,20%,1099,$41.06,$43.99,$42.00,$42.21,42.48,B+,C+,N/A,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GMOM,Cambria Global Momentum ETF,Multi-Asset,"$109,864,000","8,464",$28.92,false,False,false,false,0.22%,-3.77%,0.68%,1.18%,-0.84%,8.97%,-$0.093535,-$0.093535,$2.85394,-$35.148255,$47.70095,$15.63295,Hedge Fund,2014-11-04,1.02%,$0.62,2024-12-23,$0.07,2.14%,Quarterly,0.76%,0.13,0.38,94.74%,15.44%,12.96%,13.40%,Cambria Investment Management LP,19,61.28%,89.86%,100.01%,40%,20%,1099,$28.22,$29.64,$28.87,$28.98,46.92,B+,C+,B,B,B,B+,N/A,6.28,10.63%,42.88%,215.39,8.86%,5.78%
UOCT,Innovator U.S. Equity Ultra Buffer ETF - October,Equity,"$201,666,000","29,484",$34.69,false,False,false,false,0.04%,-3.80%,-1.66%,3.50%,7.21%,9.35%,$0.0,$8.77225,$22.83875,$104.15375,$109.294,$40.18875,Volatility Hedged Equity,2018-10-01,0.79%,$0.00,N/A,N/A,0.00%,Annually,0.75%,0.03,0.36,5.74%,10.74%,8.14%,7.02%,Innovator,2,100.00%,100.00%,100.00%,40%,20%,1099,$34.11,$35.90,$34.56,$34.76,41.69,A-,B-,B+,A-,A-,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BMAR,Innovator U.S. Equity Buffer ETF - March,Equity,"$187,099,000","20,603",$45.83,false,False,false,false,0.43%,-3.86%,-0.66%,10.26%,9.74%,16.49%,$3.436945,$20.88614,$13.72802,-$17.529803,$67.38788,$116.203925,Volatility Hedged Equity,2020-03-02,0.79%,$0.00,N/A,N/A,0.00%,Annually,2.06%,0.03,0.58,44.47%,14.30%,10.54%,9.04%,Innovator,2,100.00%,100.00%,100.00%,40%,20%,1099,$44.72,$47.78,$45.61,$45.95,44.39,C+,C+,N/A,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JIG,JPMorgan International Growth ETF,Equity,"$107,088,000","19,689",$65.01,false,False,false,false,-0.54%,-2.45%,4.10%,4.40%,2.33%,N/A,$0.0,-$16.0625,-$14.50275,$13.19125,$40.45975,$83.37575,Foreign Large Cap Equities,2020-05-20,0.55%,$1.06,2024-12-24,$1.06,1.62%,Annually,1.83%,21.47,0.97,103.74%,20.67%,17.06%,14.71%,JPMorgan Chase,77,31.47%,41.52%,84.37%,40%,20%,1099,$63.70,$66.48,$64.82,$65.16,49.95,N/A,B-,N/A,N/A,N/A,C,N/A,7.74,72.00%,93.18%,179.14,14.29%,5.06%
BTF,CoinShares Valkyrie Bitcoin and Ether Strategy ETF,Currency,"$27,198,300","48,284",$10.41,false,False,false,false,0.37%,-21.94%,-28.60%,-20.19%,4.60%,N/A,$0.0,$0.247453,$2.445895,-$5.506925,-$7.095738,$59.012103,Currency,2021-10-22,1.25%,$7.72,2025-03-19,$0.05,74.17%,Quarterly,1.81%,N/A,1.87,306.94%,62.74%,55.30%,61.36%,Coinshares International Ltd.,4,100.01%,100.01%,100.01%,40%,20%,1099,$9.40,$12.28,$10.31,$10.47,38.85,A-,C+,A,B-,B+,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IJAN,Innovator International Developed Power Buffer ETF - January,Equity,"$186,742,000","34,533",$32.32,false,False,false,false,0.19%,0.91%,6.92%,3.39%,6.99%,10.66%,$0.0,$2.429848,$11.49093,-$30.98635,$68.031385,$116.876698,Volatility Hedged Equity,2019-12-31,0.85%,$0.00,N/A,N/A,0.00%,Annually,0.66%,0.04,0.50,61.25%,9.47%,8.71%,9.09%,Innovator,2,100.00%,100.00%,100.00%,40%,20%,1099,$31.74,$32.70,$32.28,$32.38,56.74,A-,C+,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,Bond,"$72,235,900","6,546",$65.77,false,False,false,false,0.03%,0.50%,2.18%,7.39%,5.03%,6.06%,$0.0,$0.0,$0.0,$19.52148,$13.51173,$51.549945,Emerging Markets Bonds,2012-03-08,0.60%,$3.53,2025-02-25,$0.27,5.37%,Monthly,1.55%,N/A,0.34,11.23%,11.58%,10.24%,8.93%,"WisdomTree, Inc.",160,17.70%,22.86%,52.53%,40%,20%,1099,$65.19,$66.13,N/A,N/A,53.61,C,C+,C+,C+,C+,A,B,5.28,89.87%,24.60%,531.72,5.57%,3.20%
FLMI,Franklin Dynamic Municipal Bond ETF,Bond,"$601,720,000","244,811",$24.53,false,False,false,false,0.25%,0.00%,0.97%,4.59%,2.81%,4.83%,$3.675,$27.0765,$184.932,$410.348,$524.264,$592.4805,National Munis,2017-08-31,0.30%,$0.98,2025-03-03,$0.07,4.01%,Monthly,0.44%,N/A,0.15,9.21%,4.21%,4.31%,4.90%,Franklin Templeton,765,14.66%,19.39%,39.36%,40%,20%,1099,$24.45,$24.84,$24.48,$24.61,48.49,B-,B-,N/A,B-,B-,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LCG,Sterling Capital Focus Equity ETF,Equity,"$32,602,500","4,043",$28.85,false,False,false,false,1.30%,-10.62%,-2.85%,-5.57%,3.20%,N/A,$0.0,-$0.7575,-$3.09675,-$34.3075,-$35.971,$32.6815,Large Cap Growth Equities,2020-08-26,0.59%,$0.00,N/A,N/A,0.00%,Annually,1.79%,51.5,1.24,108.88%,26.60%,22.87%,21.55%,Guardian Capital Group Ltd.,22,64.38%,82.24%,100.01%,40%,20%,1099,$27.37,$31.62,$28.62,$28.99,41.19,B+,B+,C,C+,B-,C+,N/A,7.67,98.92%,91.78%,22.6,5.13%,0.93%
SVOL,Simplify Volatility Premium ETF,Volatility,"$1,041,240,000","1,176,797",$18.86,true,Variable,false,false,2.72%,-11.36%,-6.94%,-3.56%,8.30%,N/A,-$3.22875,$39.706925,-$45.85855,$482.932325,"$1,159.33255","$1,267.6548",Inverse Volatility,2021-05-12,0.50%,$3.43,2025-02-25,$0.27,18.20%,Monthly,0.64%,N/A,0.58,123.77%,30.38%,23.76%,20.44%,Simplify,12,99.78%,100.01%,100.01%,40%,20%,1099,$17.47,$21.19,$18.62,$18.99,40.34,B+,A+,N/A,N/A,N/A,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UAPR,Innovator U.S. Equity Ultra Buffer ETF - April,Equity,"$120,868,000","21,002",$30.19,false,False,false,false,0.67%,-4.94%,-2.10%,7.46%,4.63%,5.50%,-$3.528668,-$8.894553,-$23.068078,-$45.496473,$53.242998,$66.136455,Volatility Hedged Equity,2019-04-01,0.79%,$0.00,N/A,N/A,0.00%,Annually,1.23%,0.03,0.22,9.65%,16.72%,11.86%,9.61%,Innovator,2,100.00%,100.00%,100.00%,40%,20%,1099,$29.24,$31.77,$29.97,$30.30,43.46,B,B,C,A+,B,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FLBL,Franklin Senior Loan ETF Franklin Liberty Senior Loan Fund,Bond,"$1,003,920,000","450,898",$23.99,false,False,false,false,-0.12%,-0.71%,-0.11%,5.74%,7.14%,9.46%,$40.7405,$63.6805,$272.158,$694.572,$728.7925,$964.177,High Yield Bonds,2018-05-30,0.45%,$1.86,2025-03-03,$0.12,7.74%,Monthly,0.49%,N/A,0.23,49.86%,3.29%,2.30%,1.88%,Franklin Templeton,237,41.53%,45.21%,66.53%,40%,20%,1099,$23.94,$24.22,N/A,N/A,42.7,A-,B-,N/A,A,B,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FLSP,Franklin Systematic Style Premia ETF,Alternatives,"$306,510,000","18,111",$24.10,false,False,false,false,0.11%,-0.24%,0.78%,2.27%,5.20%,4.06%,$0.0,$0.0,$1.207,$120.977,$235.523,$243.922,Long-Short,2019-12-18,0.65%,$0.28,2024-12-20,$0.28,1.17%,Annually,0.29%,0.08,0.02,21.61%,7.61%,7.65%,8.32%,Franklin Templeton,321,40.95%,44.98%,63.01%,40%,20%,1099,$23.82,$24.24,$23.98,$24.19,52.93,B,A-,N/A,A-,B,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IJUL,Innovator International Developed Power Buffer ETF - July,Equity,"$151,852,000","18,515",$29.66,false,False,false,false,0.14%,1.73%,7.09%,5.29%,7.55%,8.97%,$0.0,-$4.332785,-$10.658663,-$26.321103,$45.70486,$21.012428,Volatility Hedged Equity,2019-07-01,0.85%,$0.00,2019-11-19,$0.47,0.00%,Annually,0.58%,0.04,0.45,59.12%,11.98%,9.40%,8.45%,Innovator,2,100.00%,100.00%,100.00%,40%,20%,1099,$28.89,$30.03,$29.58,$29.71,58.25,B+,C,A-,A,B+,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NJUL,Innovator Growth-100 Power Buffer ETF - July,Equity,"$206,967,000","22,677",$60.87,false,False,false,false,0.06%,-5.95%,-3.04%,5.76%,9.34%,N/A,$3.05334,-$3.232325,-$41.182103,-$4.987738,$101.561575,$146.993957,Volatility Hedged Equity,2020-07-01,0.79%,$0.00,N/A,N/A,0.00%,Annually,2.19%,0.03,0.53,20.28%,15.23%,12.00%,10.51%,Innovator,1,100.00%,100.00%,100.00%,40%,20%,1099,$59.33,$63.87,$60.57,$61.02,41.19,B-,C+,N/A,N/A,N/A,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARCM,Arrow Reserve Capital Management ETF,Bond,"$46,207,000","1,059",$100.52,false,False,false,false,0.07%,0.37%,0.96%,4.97%,4.04%,2.54%,$0.0,$0.0,$0.0,$0.0,-$5.0015,-$4.9945,Money Market,2017-03-31,0.50%,$4.79,2025-02-28,$0.32,4.77%,Monthly,1.43%,N/A,0.02,15.85%,0.37%,0.36%,0.40%,Arrow Funds,81,32.27%,41.97%,89.02%,40%,20%,1099,$100.17,$100.53,$100.47,$100.54,86.36,N/A,A-,N/A,N/A,N/A,B+,N/A,6.82,77.72%,64.94%,148.29,12.58%,1.86%
DDEC,FT Vest US Equity Deep Buffer ETF - December,Equity,"$325,529,000","66,393",$39.40,false,False,false,false,0.13%,-4.04%,-1.84%,5.39%,7.17%,N/A,$0.9811,$1.9347,$42.32125,-$30.81345,$111.762775,$251.529775,Volatility Hedged Equity,2020-12-18,0.85%,$0.00,N/A,N/A,0.00%,Annually,1.15%,0.05,0.29,11.17%,10.61%,8.87%,6.63%,First Trust,3,100.00%,100.00%,100.00%,40%,20%,1099,$38.69,$40.81,$39.25,$39.48,41.41,B+,C+,B,C+,C+,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABEQ,Absolute Select Value ETF,Equity,"$96,102,000","6,957",$33.60,false,False,false,false,0.31%,2.18%,6.71%,14.45%,6.45%,13.97%,$1.685,$4.15475,$4.151,$1.60725,$22.68675,$51.558,All Cap Equities,2020-01-21,0.85%,$0.47,2024-12-30,$0.29,1.38%,Semi-Annually,1.33%,0.05,0.64,31.94%,9.35%,9.33%,8.89%,Absolute Investment Advisers LLC,28,55.29%,70.76%,100.01%,40%,20%,1099,$32.89,$33.79,$33.54,$33.64,58.1,B-,C,N/A,A,B-,B-,N/A,6.27,0.00%,42.60%,103.36,22.09%,0.24%
PNOV,Innovator U.S. Equity Power Buffer ETF - November,Equity,"$774,622,000","37,005",$37.41,false,False,false,false,0.19%,-3.31%,-1.23%,5.35%,7.34%,11.47%,$0.0,$1.82455,-$40.315323,-$50.583268,$403.162463,$549.515483,Volatility Hedged Equity,2019-11-01,0.79%,$0.00,N/A,N/A,0.00%,Annually,0.97%,0.05,0.47,13.62%,9.61%,7.64%,6.84%,Innovator,2,100.00%,100.00%,100.00%,40%,20%,1099,$36.77,$38.53,$37.27,$37.50,42.85,B,C+,N/A,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RFFC,ALPS Active Equity Opportunity ETF,Equity,"$35,362,600","7,730",$56.33,false,False,true,false,0.47%,-6.91%,-2.56%,7.27%,8.05%,20.31%,$0.0,$13.05,$13.05,$10.4535,-$1.3035,-$99.404,All Cap Equities,2016-06-06,0.48%,$0.53,2025-03-20,$0.10,0.93%,Quarterly,3.08%,0.06,1.06,19.77%,18.12%,15.29%,13.71%,SS&C,62,30.77%,40.52%,89.29%,40%,20%,1099,$54.59,$59.52,$56.26,$56.36,41.35,C,B,A-,A,B+,B,B+,6.5,52.63%,51.39%,153.64,11.61%,5.04%
